date,indicator,value,units,laboratory_reference,laboratory
2026-03-25,total_protein,75.8,g/L,53.0 - 85.0,Vet House
2026-03-25,albumin,26.7,g/L,25.0 - 45.0,Vet House
2026-03-25,globulin,49.1,g/L,28.0 - 55.0,Vet House
2026-03-25,alt,126.9,U/L,20.0 - 85.0,Vet House
2026-03-25,total_bilirubin,3.6,µmol/L,0.0 - 15.0,Vet House
2026-03-25,creatinine,135.9,µmol/L,50.0 - 165.0,Vet House
2026-03-25,urea,8.2,mmol/L,5.5 - 11.0,Vet House
2026-03-25,phosphorus,1.58,mmol/L,1.20 - 3.00,Vet House
2026-03-25,wbc,4.6,10^9/L,5.5 - 18.5,Vet House
2026-03-25,rbc,8.93,10^12/L,5.00 - 11.00,Vet House
2026-03-25,hemoglobin,114,g/L,90 - 167,Vet House
2026-03-25,hematocrit,35.7,%,26.0 - 48.0,Vet House
2026-03-25,mcv,40.0,fL,39.0 - 50.0,Vet House
2026-03-25,mch,12.8,pg,14.0 - 19.0,Vet House
2026-03-25,mchc,319,g/L,310 - 369,Vet House
2026-03-25,rdw_cv,16.4,%,13.2 - 17.5,Vet House
2026-03-25,platelets,183,10^9/L,200 - 630,Vet House
2026-03-25,platelets_manual,250,10^9/L,200 - 630,Vet House
2026-03-25,basophils,0,10^9/L,0.00 - 0.26,Vet House
2026-03-25,eosinophils,0.28,10^9/L,0.00 - 1.50,Vet House
2026-03-25,band_neutrophils,0,10^9/L,0.00 - 0.30,Vet House
2026-03-25,segmented_neutrophils,2.85,10^9/L,3.00 - 11.50,Vet House
2026-03-25,lymphocytes,1.47,10^9/L,1.50 - 7.00,Vet House
2026-03-25,monocytes,0,10^9/L,0.00 - 0.90,Vet House
2026-03-25,eosinophils_pct,6,%,0 - 12,Vet House
2026-03-25,segmented_neutrophils_pct,62,%,60 - 77,Vet House
2026-03-25,lymphocytes_pct,32,%,20 - 55,Vet House
2026-03-25,monocytes_pct,0,%,0 - 4,Vet House
